,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/10,/amdcpu/0/load/11,/amdcpu/0/load/12,/amdcpu/0/load/13,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/temperature/2,/amdcpu/0/voltage/0,/amdcpu/0/voltage/1,/amdcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core (Tctl/Tdie)","Core (SVI2 TFN)","SoC (SVI2 TFN)","Bus Speed"
09/07/2026 14:02:20,18.46,1.52,13.64,13.64,14.93,7.46,27.69,21.54,26.15,27.69,21.74,32.31,18.9,32.31,15.0388441,2893,685,1774,308.5,17.7777786,0.7679129,1.31875,1774,512.5,17.7777786,1.417566,1.31875,3992,411,40,1.04510391,1.31875,4017,920,40.25,2.65476155,1.35,1785,957,17.88889,1.990101,1.35,4017,1003.5,40.25,2.99118066,1.35,85.25,1.55,1.55,99.80917
09/07/2026 14:02:22,9.23,0,6.25,6.25,15.62,40,9.23,12.31,3.03,15.38,1.56,23.08,11.83,40,13.5346117,2345,475,1397,130,14,0.3650775,1.35,1397,236,14,0.7652609,1.35,1397,1261.5,14,4.424363,1.35,1797,395,18,1.13756132,1.35,4042,400,40.5,1.41192436,1.375,4042,430,40.5,1.28113151,1.375,84.75,1.55,1.55,99.80916
09/07/2026 14:02:24,7.81,4.55,6.25,3.08,3.08,3.12,25,28.12,20.31,40,17.19,29.69,15.68,40,13.6367216,2842,520,3967,208,39.75,0.5472843,1.31875,1699,90,17.666666,0.215502292,1.31875,3942,125,39.5,0.2787169,1.31875,3942,908.5,39.5,2.65989757,1.31875,1752,969.5,17.5555553,3.052653,1.31875,1752,817.5,17.5555553,2.61513877,1.31875,84.75,1.55,1.55,99.80922
09/07/2026 14:02:26,17.46,9.52,11.11,7.94,15.87,17.46,41.27,34.92,22.22,31.75,12.7,12.7,19.58,41.27,14.2614994,3171,632,1397,195.5,14,0.436324328,1.35625,1763,233,17.666666,0.5425867,1.31875,3967,476.5,39.75,1.406233,1.31875,3967,1370.5,39.75,3.649104,1.31875,3967,1049,39.75,3.02042937,1.31875,3967,467.5,39.75,1.22889769,1.31875,84.875,1.55,1.55,99.809166
09/07/2026 14:02:28,15.62,6.25,4.69,1.56,4.69,1.56,21.88,14.29,23.44,64.06,1.56,62.5,18.51,64.06,18.8573971,2272,742,1976,367,19.8,1.00415337,1.24375,1235,275.5,12.375,0.6459127,1.24375,1235,222,12.375,0.5087276,1.24375,1697,702,17,2.134518,1.24375,3743,1529,37.5,4.573342,1.2375,3743,1353.5,37.5,5.269043,1.2375,85.125,1.55,1.55,99.80916
09/07/2026 14:02:30,51.56,25,50,14.06,39.06,28.12,51.56,28.12,28.12,29.69,29.69,26.56,33.46,51.56,23.9953365,3232,1290,3967,1526,39.75,4.54097033,1.325,1763,1180,17.666666,3.12916636,1.325,3967,1354,39.75,3.3313067,1.325,3967,1456,39.75,3.196884,1.325,1763,1169,17.666666,2.77676177,1.325,3967,1055,39.75,2.41740823,1.3125,85.25,1.55,1.55,99.80923
09/07/2026 14:02:32,15.38,12.31,24.62,12.5,21.88,21.54,38.46,49.23,30.77,28.12,12.31,29.23,24.7,49.23,16.4785252,2327,660,1313,154,14,0.380617082,1.30625,1397,404,14,1.11905694,1.30625,1397,748.5,14,2.35056686,1.30625,3942,1416.5,39.5,3.79605913,1.3,1971,741.5,19.75,1.96160674,1.3,3942,493,39.5,1.15827644,1.3,85.375,1.55,1.55,99.80918
09/07/2026 14:02:34,6.25,1.56,17.19,53.12,1.56,25,4.69,9.38,3.12,9.38,0,15.62,12.24,53.12,15.6905222,3642,503,1659,80.5,17.88889,0.206320882,1.36875,4042,1490,40.5,5.256741,1.3625,4042,624.5,40.5,2.13535452,1.3625,4025,263.5,40.5,0.7346381,1.3625,4042,268.5,40.5,0.752431631,1.3625,4042,291,40.5,0.747912049,1.36875,85,1.55,1.55,99.8092
09/07/2026 14:02:36,12.5,3.12,14.06,14.06,32.81,12.5,14.06,21.88,12.5,26.56,9.38,21.88,16.28,32.81,16.5539227,2277,632,1397,257.5,14,0.63817215,1.35625,1397,542.5,14,1.49038541,1.35625,1797,902.5,18,2.94037437,1.375,1235,820.5,12.375,2.18774533,1.375,3918,789,39.25,2.24095821,1.29375,3918,477,39.25,1.16830313,1.29375,84.75,1.55,1.55,99.8091
09/07/2026 14:02:38,3.08,7.69,16.92,12.31,4.62,7.69,12.31,20,18.46,18.46,24.62,13.85,13.33,24.62,16.0188713,2920,542,4042,270.5,40.5,0.8059414,1.375,1797,707,18,2.18114948,1.375,1797,233.5,18,0.6332009,1.375,1797,613.5,18,1.92006087,1.375,4042,623,40.5,1.93183625,1.38125,4042,804.5,40.5,2.42369175,1.38125,84.75,1.55,1.55,99.80923
