,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/10,/amdcpu/0/load/11,/amdcpu/0/load/12,/amdcpu/0/load/13,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/temperature/2,/amdcpu/0/voltage/0,/amdcpu/0/voltage/1,/amdcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core (Tctl/Tdie)","Core (SVI2 TFN)","SoC (SVI2 TFN)","Bus Speed"
09/08/2026 11:32:52,19.05,3.17,19.05,9.52,9.52,14.29,30.16,22.22,12.7,7.94,14.29,17.46,14.95,30.16,13.1362972,3252,471,3790,145,40.5,0.338129044,1.35,1797,302.5,18,0.9246548,1.35,4042,336,40.5,0.9266218,1.35,1797,992,18,3.52539444,1.35,4042,416,40.5,1.23366809,1.35,4042,637,40.5,2.085449,1.35,74.00001,1.55,1.55,99.809166
09/08/2026 11:32:54,6.15,1.59,6.15,1.54,9.38,6.15,35.38,16.92,12.31,15.62,7.69,15.38,11.19,35.38,12.868185,2739,451,1197,127.5,12.375,0.307465255,1.35625,1135,115.5,12.375,0.26577428,1.35625,1976,293,19.8,0.8964902,1.35625,4042,1046.5,40.5,3.71100068,1.35625,4042,596.5,40.5,2.02192521,1.35625,4042,528.5,40.5,1.64308381,1.35625,74.50001,1.55,1.55,99.80912
09/08/2026 11:32:56,9.52,4.76,7.94,6.35,6.35,33.33,44.44,1.59,4.76,17.46,11.11,17.46,13.76,44.44,12.7728891,2822,448,4042,185,40.5,0.454550564,1.3125,1611,105.5,18,0.23815985,1.3125,1797,740.5,18,2.47919869,1.3125,1397,847.5,14,3.041569,1.3125,4042,368,40.5,1.20327663,1.31875,4042,444,40.5,1.40399814,1.31875,74.37501,1.55,1.55,99.8092
09/08/2026 11:32:58,7.69,6.15,23.08,6.15,1.54,10.77,18.46,33.85,6.15,15.38,20,4.62,12.82,33.85,12.7742844,3664,453,1775,229,18,0.6484907,1.325,4042,482.5,40.5,1.54507053,1.325,4042,151.5,40.5,0.3586311,1.33125,4042,1000,40.5,3.40737915,1.33125,4042,370.5,40.5,1.1342628,1.33125,4042,484,40.5,1.62230635,1.33125,74.37501,1.55,1.55,99.80914
09/08/2026 11:33:00,9.38,1.56,17.19,0,0,17.19,51.56,6.25,6.25,7.81,9.38,4.69,10.94,51.56,12.7537127,3276,460,3933,127,40.5,0.304460943,1.35,4042,368.5,40.5,1.16345751,1.35,1797,394,18,1.24185812,1.35,4042,1176,40.5,4.18304873,1.35,1797,332.5,18,0.8705619,1.35,4042,359.5,40.5,1.1083765,1.34375,74.12501,1.55,1.55,99.80921
09/08/2026 11:33:02,9.38,7.81,12.5,4.69,14.06,19.05,37.5,17.46,10.94,14.06,10.94,6.25,13.72,37.5,12.9507942,3574,466,1235,281.5,12.375,0.731930256,1.31875,4042,208.5,40.5,0.593357,1.325,4042,578,40.5,1.87928784,1.325,4042,1008,40.5,3.61814785,1.325,4042,355.5,40.5,1.01383638,1.325,4042,367,40.5,1.19268167,1.325,74.87501,1.55,1.55,99.80913
09/08/2026 11:33:04,15.38,1.54,6.15,1.56,0,7.69,44.62,19.05,7.69,16.92,18.46,1.54,11.72,44.62,12.9294605,2353,441,1235,249.5,12.375,0.6794936,1.33125,1026,97.5,12.375,0.240999609,1.33125,1976,113,19.8,0.2381606,1.33125,1797,1259.5,18,4.63620472,1.33125,4042,499,40.5,1.72411215,1.33125,4042,429,40.5,1.419866,1.33125,75.00001,1.55,1.55,99.80918
09/08/2026 11:33:06,13.85,7.69,13.85,6.15,30.77,24.62,20,1.54,4.62,9.23,27.69,24.62,15.38,30.77,12.854476,3281,450,1720,198,18,0.460794061,1.31875,4042,251.5,40.5,0.7209153,1.31875,4042,888,40.5,2.97566342,1.31875,1797,232.5,18,0.7889414,1.325,4042,188.5,40.5,0.491193384,1.325,4042,938.5,40.5,3.28700757,1.325,74.37501,1.55,1.55,99.80919
09/08/2026 11:33:08,9.52,6.35,4.76,0,0,4.76,11.11,9.52,6.35,22.22,36.51,25.4,11.38,36.51,12.7326889,1990,464,1235,209,12.375,0.521028757,1.3375,1093,113.5,12.375,0.2689329,1.3375,1976,119.5,19.8,0.246739283,1.3375,1797,475,18,1.65869594,1.3375,1797,608,18,1.89398181,1.33125,4042,1259,40.5,4.281972,1.33125,74.00001,1.55,1.55,99.8092
09/08/2026 11:33:10,4.62,17.19,6.25,6.25,1.56,10.94,16.92,4.62,1.54,23.08,36.92,10.77,11.72,36.92,12.9816475,2345,444,1397,385.5,14,1.2184273,1.33125,1397,212.5,14,0.6157255,1.33125,1397,197.5,14,0.494933516,1.33125,4042,402.5,40.5,1.36635852,1.3375,4042,583,40.5,2.010052,1.3375,1797,885,18,3.03845,1.3375,74.12501,1.55,1.55,99.8091354
